# SPA 2025-26 SECOND-INDEX MATRIX (MX) - emitted 2026-08-05 by tools/mx_es_2526.py from
# data/raw/wiki-es-2526-article-raw.txt (FBR invoke, action=raw byte-safe; derby
# wikilink decorations stripped). MX|homePin|awayPin|hg|ag ; 380 cells; goals=1024.
# Source label for pack citations: wikimatrix-es-2526

MX|Sociedad|Girona|1|2
MX|Sociedad|Levante|2|0
MX|Sociedad|Mallorca|1|0
MX|Sociedad|Osasuna|3|1
MX|Sociedad|Oviedo|3|3
MX|Sociedad|Vallecano|0|1
MX|Sociedad|Betis|2|2
MX|Sociedad|Real Madrid|1|2
MX|Sociedad|Sevilla|2|1
MX|Sociedad|Valencia|3|4
MX|Sociedad|Villarreal|2|3
MX|Sevilla|Alaves|1|1
MX|Sevilla|Ath Bilbao|2|1
MX|Sevilla|Ath Madrid|2|1
MX|Sevilla|Barcelona|4|1
MX|Sevilla|Celta|0|1
MX|Sevilla|Elche|2|2
MX|Sevilla|Espanol|2|1
MX|Sevilla|Getafe|1|2
MX|Sevilla|Girona|1|1
MX|Sevilla|Levante|0|3
MX|Sevilla|Mallorca|1|3
MX|Sevilla|Osasuna|1|0
MX|Sevilla|Oviedo|4|0
MX|Sevilla|Vallecano|1|1
MX|Sevilla|Betis|0|2
MX|Sevilla|Real Madrid|0|1
MX|Sevilla|Sociedad|1|0
MX|Sevilla|Valencia|0|2
MX|Sevilla|Villarreal|1|2
MX|Valencia|Alaves|3|2
MX|Valencia|Ath Bilbao|2|0
MX|Valencia|Ath Madrid|0|2
MX|Valencia|Barcelona|3|1
MX|Valencia|Celta|2|3
MX|Valencia|Elche|1|1
MX|Valencia|Espanol|3|2
MX|Valencia|Getafe|3|0
MX|Valencia|Girona|2|1
MX|Valencia|Levante|1|0
MX|Valencia|Mallorca|1|1
MX|Valencia|Osasuna|1|0
MX|Valencia|Oviedo|1|2
MX|Valencia|Vallecano|1|1
MX|Valencia|Betis|1|1
MX|Valencia|Real Madrid|0|2
MX|Valencia|Sociedad|1|1
MX|Valencia|Sevilla|1|1
MX|Valencia|Villarreal|0|2
MX|Villarreal|Alaves|3|1
MX|Villarreal|Ath Bilbao|1|0
MX|Villarreal|Ath Madrid|5|1
MX|Villarreal|Barcelona|0|2
MX|Villarreal|Celta|2|1
MX|Villarreal|Elche|2|1
MX|Villarreal|Espanol|4|1
MX|Villarreal|Getafe|2|0
MX|Villarreal|Girona|5|0
MX|Villarreal|Levante|5|1
MX|Villarreal|Mallorca|2|1
MX|Villarreal|Osasuna|2|1
MX|Villarreal|Oviedo|2|0
MX|Villarreal|Vallecano|4|0
MX|Villarreal|Betis|2|2
MX|Villarreal|Real Madrid|0|2
MX|Villarreal|Sociedad|3|1
MX|Villarreal|Sevilla|2|3
MX|Villarreal|Valencia|2|1
