# CZ1 2025/26 DATE+SCORE LATTICE (independent second index)
# Source: BBC Sport "Czech Liga" scores-fixtures month pages, fetched 2026-08-04
#   https://www.bbc.com/sport/football/czech-first-league/scores-fixtures/<YYYY-MM>
# Grammar: D|dateISO|home|hg|ag|away  (ASCII stock strings; BBC names mapped, accents stripped)
# BBC prints fixtures newest-first per month; rows here normalized ascending at assembly time.
D|2026-03-08|Ostrava|6|2|Zlin
D|2026-03-08|Hradec|0|3|Plzen
D|2026-03-08|Karvina|1|2|Pardubice
D|2026-03-08|Slavia|3|1|Sparta
D|2026-03-14|Dukla|2|0|Jablonec
D|2026-03-14|Hradec|1|0|Ostrava
D|2026-03-14|MlBoleslav|2|0|Pardubice
D|2026-03-14|Zlin|1|3|Slavia
D|2026-03-15|Liberec|1|1|Teplice
D|2026-03-15|Olomouc|2|2|Karvina
D|2026-03-15|Plzen|2|0|Bohemians
D|2026-03-15|Sparta|5|2|Slovacko
D|2026-04-04|Dukla|0|2|Pardubice
D|2026-04-04|Olomouc|2|4|MlBoleslav
D|2026-04-04|Liberec|2|1|Slovacko
D|2026-04-04|Zlin|0|3|Jablonec
D|2026-04-04|Plzen|2|2|Teplice
D|2026-04-05|Hradec|2|0|Bohemians
D|2026-04-05|Ostrava|0|2|Slavia
D|2026-04-05|Sparta|2|0|Karvina
D|2026-04-11|Bohemians|2|1|Zlin
D|2026-04-11|Jablonec|4|1|Ostrava
D|2026-04-11|Slovacko|1|3|Hradec
D|2026-04-12|Karvina|3|1|Liberec
D|2026-04-12|MlBoleslav|1|1|Dukla
D|2026-04-12|Pardubice|2|1|Olomouc
D|2026-04-12|Teplice|0|1|Sparta
D|2026-04-12|Slavia|0|0|Plzen
D|2026-04-18|Ostrava|0|2|Bohemians
D|2026-04-18|Dukla|1|2|Karvina
D|2026-04-18|Liberec|0|0|MlBoleslav
D|2026-04-18|Zlin|3|2|Teplice
D|2026-04-18|Sparta|3|1|Jablonec
D|2026-04-19|Olomouc|2|1|Slovacko
D|2026-04-19|Hradec|2|1|Slavia
D|2026-04-19|Plzen|0|1|Pardubice
D|2026-04-25|Ostrava|0|1|Plzen
D|2026-04-25|Bohemians|2|0|Sparta
D|2026-04-25|Jablonec|1|2|Liberec
D|2026-04-25|Karvina|0|3|MlBoleslav
D|2026-04-25|Pardubice|3|1|Zlin
D|2026-04-25|Slavia|2|1|Olomouc
D|2026-04-25|Slovacko|1|2|Dukla
D|2026-04-25|Teplice|0|1|Hradec
D|2026-05-02|Liberec|1|2|Slavia
D|2026-05-02|Bohemians|1|3|Olomouc
D|2026-05-02|Karvina|1|2|Pardubice
D|2026-05-02|Ostrava|0|0|MlBoleslav
D|2026-05-02|Zlin|2|1|Dukla
D|2026-05-03|Plzen|3|1|Hradec
D|2026-05-03|Sparta|2|0|Jablonec
D|2026-05-03|Teplice|1|1|Slovacko
D|2026-05-09|Plzen|2|0|Liberec
D|2026-05-09|Slavia|0|3|Sparta
D|2026-05-09|Dukla|0|1|Slovacko
D|2026-05-09|MlBoleslav|1|1|Zlin
D|2026-05-09|Teplice|2|1|Ostrava
