normalised_key,canonical_name
dinamotbilisi,Dinamo Tbilisi
dinamozagreb,Dinamo Zagreb
dinbucuresti,Din. Bucuresti
diosgyorivtk,Diósgyöri VTK
diyarbakirspor,Diyarbakirspor
djurgarden,Djurgarden
djurgardens,Djurgårdens IF
dneprmogilev,Dnepr Mogilev
dnipro1,SK Dnipro-1
domzale,NK Domžale
doncaster,Doncaster
dordrecht,Dordrecht
dortmund,Dortmund
doxadramas,Doxa Dramas
doxakatokopias,Doxa Katokopias
dresden,Dresden
dritagjilan,Drita Gjilan
drogheda,Drogheda
duisburg,Duisburg
duklabanskabystrica,Dukla Banská Bystrica
duklapraha,FK Dukla Praha
dundalk,Dundalk
dundee,Dundee
dundeeunited,Dundee United
dunfermline,Dunfermline
dungannonswifts,Dungannon Swifts
dunkerque,Dunkerque
dynamoceskebudejovice,Dynamo České Budějovice
dynamomakhachkala,Dynamo Makhachkala
dynamomoscow,Dynamo Moscow
dziugas,FC Džiugas
ebstreymur,EB/Streymur
egaleo,Egaleo
egnatiarrogozhine,Egnatia Rrogozhine
eibar,Eibar
einfrankfurt,Ein Frankfurt
eintrachtfrankfurt,Eintracht Frankfurt
eintrier,Ein Trier
ekenas,Ekenas
elazigspor,Elazigspor
elche,Elche
eldense,Eldense
elfsborg,Elfsborg
elversberg,Elversberg
emmen,FC Emmen
empoli,Empoli
energetikbguminsk,Energetik-BGU Minsk
enosisneonparalimni,Enosis Neon Paralimni
erciyesspor,Erciyesspor
erfurt,Erfurt
ergotelis,Ergotelis
erzenishijak,Erzeni Shijak
erzgebirgeaue,Erzgebirge Aue
erzurumbb,Erzurum BB
esbjerg,Esbjerg
eskilstuna,AFC Eskilstuna
eskisehirspor,Eskisehirspor
espanol,Espanol
essen,Essen
estamadora,Est Amadora
estoril,Estoril
estrela,Estrela
etarvelikotarnovo,Etar Veliko Tarnovo
ethnikosachna,Ethnikos Achna
eupen,Eupen
everton,Everton
evianthonongaillard,Evian Thonon Gaillard
excelsior,Excelsior
exeter,Exeter
extremadura,Extremadura UD
eyupspor,Eyupspor
f91dudelange,F91 Dudelange
fakelvoronezh,Fakel Voronezh
falkenbergs,Falkenbergs
falkirk,Falkirk
famalicao,Famalicao
farense,Farense
farulconstanta,Farul Constanta
fasiauliai,FA Šiauliai
fastavzlin,FC Fastav Zlín
fcbmagpies,FCB Magpies
fcilevadia,FCI Levadia
fcsb,FCSB
fehervar,Fehérvár FC
feirense,Feirense
fenerbahce,Fenerbahce
feralpisalo,FeralpiSalo
ferencvarositc,Ferencvárosi TC
ferrol,Ferrol
feyenoord,Feyenoord
feyenoordrotterdam,Feyenoord Rotterdam
fhhafnarfjorur,FH Hafnarfjörður
finnharps,Finn Harps
fiorentina,Fiorentina
fleetwoodtown,Fleetwood Town
flinttownunited,Flint Town United
flora,FC Flora
floresti,FC Floreşti
floriana,Floriana FC
foggia,Foggia
folaesch,CS FOLA Esch
forestgreen,Forest Green
forsittard,For Sittard
fortunadusseldorf,Fortuna Dusseldorf
framreykjavik,Fram Reykjavík
frankfurt,Frankfurt FSV
fredericia,Fredericia
fredrikstad,Fredrikstad
freiburg,Freiburg
frosinone,Frosinone
fsjelgava,FS Jelgava
fuenlabrada,Fuenlabrada
fuglafjrur,ÍF Fuglafjørður
fulham,Fulham
fylkirreykjavik,Fylkir Reykjavík
gabala,Gabala FK
gagra,FC Gagra
gais,GAIS
galatasaray,Galatasaray
gallipoli,Gallipoli
galway,Galway
gandzasarkapan,Gandzasar Kapan
garejisagarejo,FC Gareji Sagarejo
gaziantep,Gaziantep
gaziantepspor,Gaziantepspor
gazmetanmedias,Gaz Metan Medias
gefle,Gefle
genclerbirligi,Genclerbirligi
genk,Genk
genoa,Genoa
gent,Gent
germinal,Germinal
getafe,Getafe
gfktikvesh,GFK Tikvesh
giannina,Giannina
gillingham,Gillingham
gilvicente,Gil Vicente
gimnastic,Gimnastic
giresunspor,Giresunspor
girona,Girona
gksbelchatow,GKS Belchatow
gkskatowice,GKS Katowice
glenavon,Glenavon FC
glentoran,Glentoran FC
gloriabuzau,Gloria Buzau
gnistan,Gnistan
goaheadeagles,Go Ahead Eagles
gomel,FK Gomel
gorica,HNK Gorica
gornikz,Gornik Z.
gornikzabrze,Gornik Zabrze
goskgabela,NK GOŠK Gabela
goteborg,Goteborg
goztep,Goztep
graafschap,Graafschap
granada,Granada
granada74,Granada 74
grasshoppers,Grasshoppers
grazerak,Grazer AK
grenoble,Grenoble
gretna,Gretna
greutherfurth,Greuther Furth
grimsby,Grimsby
grobinas,Grobiņas SC
grodig,Grodig
groningen,Groningen
grosseto,Grosseto
