seg,est,n,phase,res,gd,eur_frac
MIXED,-1.4292797072208836,51,p3,D,0,0.8431372549019608
MIXED,0.0,2,p2,H,5,0.75
EUR-only,-1.3333333333333333,3,p2,A,-2,1.0
EUR-only,-1.5,4,p2,D,0,1.0
EUR-only,-1.85,5,p2,A,-3,1.0
MIXED,-1.0,2,p2,A,-2,0.75
MIXED,2.4854166666666666,8,p3,A,-1,0.9583333333333334
EUR-only,0.5,2,p2,H,3,1.0
EUR-only,2.3333333333333335,3,p2,H,1,1.0
MIXED,0.8072727272727274,5,p2,H,3,0.9
EUR-only,3.45,5,p2,H,2,1.0
EUR-only,-2.75,2,p2,H,3,1.0
EUR-only,2.642857142857143,7,p3,H,1,1.0
EUR-only,-0.1,5,p2,H,3,1.0
EUR-only,-0.08333333333333333,6,p2,A,-2,1.0
MIXED,0.0666666666666667,5,p2,D,0,0.9
EUR-only,0.625,4,p2,A,-1,1.0
EUR-only,-0.25,8,p3,A,-1,1.0
EUR-only,1.5,2,p2,D,0,1.0
EUR-only,-2.2666666666666666,3,p2,A,-1,1.0
MIXED,-0.30979020979020977,5,p2,A,-1,0.7
MIXED,-1.0833333333333333,4,p2,H,2,0.875
EUR-only,0.8125,4,p2,A,-2,1.0
EUR-only,-1.8333333333333333,3,p2,H,3,1.0
MIXED,-1.0833333333333333,4,p2,A,-1,0.875
EUR-only,-2.6875,4,p2,A,-1,1.0
EUR-only,0.5,6,p2,H,2,1.0
EUR-only,-1.8125,8,p2,D,0,1.0
EUR-only,-3.75,2,p2,H,2,1.0
EUR-only,1.8125,8,p2,H,3,1.0
EUR-only,3.75,2,p2,A,-1,1.0
EUR-only,-0.5,6,p2,H,3,1.0
MIXED,1.0833333333333333,4,p2,H,1,0.875
EUR-only,2.6875,4,p2,D,0,1.0
EUR-only,1.8333333333333333,3,p2,H,1,1.0
EUR-only,-4.0,2,p2,H,1,1.0
EUR-only,-0.82,5,p2,A,-5,1.0
EUR-only,0.125,2,p2,D,0,1.0
EUR-only,0.0,2,p2,H,3,1.0
MIXED,-1.1212121212121213,3,p2,D,0,0.8333333333333334
MIXED,-0.3888888888888889,9,p2,H,3,0.8333333333333334
MIXED,-0.017676767676767687,9,p2,H,3,0.9444444444444444
EUR-only,0.75,2,p2,H,3,1.0
EUR-only,-0.75,2,p2,H,5,1.0
MIXED,0.3888888888888889,9,p2,A,-3,0.8333333333333334
MIXED,0.017676767676767687,9,p2,A,-1,0.9444444444444444
MIXED,1.1212121212121213,3,p2,H,2,0.8333333333333334
EUR-only,-0.125,2,p2,H,5,1.0
EUR-only,4.0,2,p2,H,4,1.0
EUR-only,0.82,5,p2,H,3,1.0
EUR-only,0.0,2,p2,H,1,1.0
MIXED,-0.34031986531986536,9,p2,A,-1,0.8888888888888888
MIXED,-0.5210437710437711,9,p2,H,2,0.8888888888888888
MIXED,0.5210437710437711,9,p2,A,-2,0.8888888888888888
MIXED,0.34031986531986536,9,p2,H,1,0.8888888888888888
EUR-only,0.07222222222222222,9,p2,H,1,1.0
MIXED,-0.922077922077922,7,p2,D,0,0.8571428571428571
MIXED,0.922077922077922,7,p2,H,1,0.8571428571428571
EUR-only,-0.07222222222222222,9,p2,D,0,1.0
MIXED,0.2920454545454545,8,p2,H,1,0.875
MIXED,-9.045454545454545,2,p3,H,1,0.5
EUR-only,1.5833333333333333,3,p3,D,0,1.0
MIXED,-0.75,4,p3,A,-1,0.9166666666666666
EUR-only,0.8333333333333334,2,p2,H,1,1.0
EUR-only,-1.5833333333333333,3,p3,H,2,1.0
MIXED,0.75,4,p3,H,1,0.9166666666666666
MIXED,9.045454545454545,2,p3,D,0,0.5
EUR-only,-0.8333333333333334,2,p2,D,0,1.0
EUR-only,-2.9226190476190474,14,p3,A,-1,1.0
MIXED,-0.9592903828197945,17,p3,A,-1,0.8823529411764706
EUR-only,-1.25,2,p2,A,-3,1.0
MIXED,-0.7008907004830918,24,p3,D,0,0.8888888888888888
MIXED,0.5,2,p2,A,-1,0.75
MIXED,-0.056818181818181816,11,p3,H,4,0.7575757575757576
MIXED,4.4,5,p3,H,6,0.9333333333333333
MIXED,-2.2083333333333335,3,p3,A,-3,0.8888888888888888
MIXED,-2.0183823529411766,4,p3,A,-3,0.75
EUR-only,2.9226190476190474,14,p3,H,4,1.0
MIXED,0.056818181818181816,11,p3,D,0,0.7575757575757576
MIXED,2.0183823529411766,4,p3,H,1,0.75
EUR-only,1.25,2,p2,H,1,1.0
MIXED,0.7008907004830918,24,p3,A,-1,0.8888888888888888
MIXED,0.9592903828197945,17,p3,H,1,0.8823529411764706
MIXED,-4.4,5,p3,A,-1,0.9333333333333333
MIXED,2.2083333333333335,3,p3,D,0,0.8888888888888888
MIXED,-0.5,2,p2,A,-2,0.75
EUR-only,-0.5,3,p2,D,0,1.0
MIXED,-0.3333333333333333,6,p2,H,3,0.8333333333333334
EUR-only,-0.3333333333333333,3,p2,A,-1,1.0
EUR-only,-0.14285714285714285,7,p2,D,0,1.0
EUR-only,-0.25,2,p2,A,-2,1.0
MIXED,0.9958333333333333,4,p2,H,1,0.75
EUR-only,0.5,3,p2,H,5,1.0
MIXED,0.3333333333333333,6,p2,H,1,0.8333333333333334
MIXED,-0.9958333333333333,4,p2,H,3,0.75
EUR-only,0.3333333333333333,3,p2,H,1,1.0
EUR-only,0.14285714285714285,7,p2,H,3,1.0
EUR-only,0.25,2,p2,D,0,1.0
EUR-only,1.375,4,p2,A,-2,1.0
MIXED,0.7563131313131313,18,p3,A,-1,0.7962962962962963
MIXED,1.7399999999999998,5,p2,A,-2,0.9
EUR-only,1.0,3,p2,H,5,1.0
EUR-only,1.6875,4,p3,D,0,1.0
EUR-only,-0.625,2,p2,D,0,1.0
EUR-only,-1.6875,4,p3,H,1,1.0
MIXED,-0.7563131313131313,18,p3,D,0,0.7962962962962963
EUR-only,-1.0,3,p2,H,1,1.0
EUR-only,-1.375,4,p2,A,-1,1.0
EUR-only,0.625,2,p2,H,1,1.0
MIXED,-1.7399999999999998,5,p2,H,6,0.9
MIXED,-1.3125,2,p3,A,-1,0.5
DOM-heavy,-0.25,2,p3,D,0,0.3333333333333333
MIXED,-1.2291666666666665,2,p2,D,0,0.5
MIXED,1.2291666666666665,2,p2,A,-2,0.5
DOM-heavy,0.25,2,p3,H,2,0.3333333333333333
MIXED,1.3125,2,p3,H,8,0.5
MIXED,-0.75,2,p3,A,-1,0.8333333333333334
MIXED,-1.0104166666666667,8,p3,H,1,0.625
MIXED,-0.6666666666666666,3,p3,A,-2,0.6666666666666666
EUR-only,-0.125,4,p3,H,1,1.0
MIXED,-2.35,2,p2,H,1,0.5
EUR-only,-2.5,2,p3,A,-2,1.0
MIXED,0.75,2,p3,H,1,0.8333333333333334
MIXED,0.6666666666666666,3,p3,H,3,0.6666666666666666
EUR-only,0.125,4,p3,D,0,1.0
MIXED,1.0104166666666667,8,p3,A,-2,0.625
MIXED,2.35,2,p2,H,2,0.5
EUR-only,2.5,2,p3,H,1,1.0
MIXED,1.625,3,p3,D,0,0.8888888888888888
MIXED,-1.3125,2,p2,A,-4,0.5
DOM-heavy,0.6590909090909092,2,p3,D,0,0.3333333333333333
MIXED,2.375,2,p3,H,1,0.6666666666666666
MIXED,0.05050505050505046,3,p3,A,-2,0.6666666666666666
DOM-heavy,1.4107142857142858,2,p3,H,3,0.3333333333333333
EUR-only,1.0,2,p2,H,3,1.0
EUR-only,4.0,2,p2,H,3,1.0
MIXED,-2.8472222222222223,4,p3,H,3,0.5
EUR-only,-2.1666666666666665,3,p3,H,3,1.0
MIXED,2.2294372294372296,3,p3,D,0,0.6666666666666666
MIXED,-2.190909090909091,5,p3,A,-1,0.8666666666666667
MIXED,0.5485380116959064,5,p3,A,-2,0.6
MIXED,-0.05050505050505046,3,p3,D,0,0.6666666666666666
DOM-heavy,-1.4107142857142858,2,p3,A,-1,0.3333333333333333
EUR-only,-4.0,2,p2,D,0,1.0
MIXED,1.3125,2,p2,H,5,0.5
MIXED,2.8472222222222223,4,p3,H,1,0.5
DOM-heavy,-0.6590909090909092,2,p3,A,-1,0.3333333333333333
EUR-only,-1.0,2,p2,A,-1,1.0
EUR-only,2.1666666666666665,3,p3,H,4,1.0
MIXED,-1.625,3,p3,H,2,0.8888888888888888
MIXED,2.190909090909091,5,p3,A,-2,0.8666666666666667
MIXED,-2.2294372294372296,3,p3,A,-1,0.6666666666666666
MIXED,-0.5485380116959064,5,p3,A,-1,0.6
MIXED,-2.375,2,p3,D,0,0.6666666666666666
EUR-only,-4.5,4,p3,H,1,1.0
MIXED,-0.16666666666666666,4,p3,H,1,0.6666666666666666
MIXED,0.14266798418972332,10,p3,H,5,0.8333333333333334
MIXED,-0.5555555555555556,10,p3,H,1,0.8333333333333334
MIXED,1.6666666666666667,3,p3,H,1,0.8888888888888888
MIXED,1.2150297619047619,16,p3,A,-3,0.8541666666666666
EUR-only,-0.75,2,p2,D,0,1.0
MIXED,2.122895622895623,9,p3,D,0,0.9629629629629629
MIXED,-0.4360119047619048,12,p3,H,1,0.7777777777777778
MIXED,-2.2795454545454548,15,p3,A,-3,0.5777777777777777
MIXED,2.25,2,p3,H,2,0.6666666666666666
MIXED,-1.7725146198830408,5,p3,A,-1,0.6666666666666666
MIXED,-2.25,2,p3,H,1,0.6666666666666666
MIXED,-1.2150297619047619,16,p3,H,1,0.8541666666666666
MIXED,0.5555555555555556,10,p3,H,1,0.8333333333333334
EUR-only,4.5,4,p3,D,0,1.0
MIXED,0.16666666666666666,4,p3,H,2,0.6666666666666666
MIXED,-0.14266798418972332,10,p3,H,1,0.8333333333333334
MIXED,-2.122895622895623,9,p3,H,2,0.9629629629629629
MIXED,0.4360119047619048,12,p3,A,-2,0.7777777777777778
MIXED,2.2795454545454548,15,p3,H,1,0.5777777777777777
MIXED,-1.6666666666666667,3,p3,A,-2,0.8888888888888888
EUR-only,0.75,2,p2,A,-1,1.0
MIXED,1.7725146198830408,5,p3,D,0,0.6666666666666666
EUR-only,-2.0,2,p3,A,-1,1.0
MIXED,1.75,2,p2,H,1,0.75
MIXED,-0.47916666666666663,4,p3,D,0,0.6666666666666666
MIXED,0.4791666666666667,4,p3,H,3,0.6666666666666666
EUR-only,2.0,2,p3,D,0,1.0
MIXED,-1.75,2,p2,A,-1,0.75
MIXED,-0.6928571428571428,10,p3,D,0,0.7666666666666667
MIXED,-1.3087878787878788,15,p3,A,-2,0.6666666666666666
MIXED,0.06425786688944589,12,p3,D,0,0.6666666666666666
MIXED,-0.75,2,p2,D,0,0.5
MIXED,2.56006216006216,15,p3,H,1,0.8666666666666667
EUR-only,-2.25,2,p2,A,-2,1.0
MIXED,0.75,2,p2,H,1,0.5
MIXED,-2.56006216006216,15,p3,H,2,0.8666666666666667
MIXED,1.3087878787878788,15,p3,H,3,0.6666666666666666
EUR-only,2.25,2,p2,H,2,1.0
MIXED,0.6928571428571428,10,p3,H,1,0.7666666666666667
MIXED,-0.06425786688944589,12,p3,A,-1,0.6666666666666666
EUR-only,-3.5,2,p3,A,-1,1.0
MIXED,-1.030612244897959,7,p3,D,0,0.8095238095238095
MIXED,-2.25,2,p3,A,-2,0.5
MIXED,-1.25,2,p3,A,-1,0.6666666666666666
MIXED,-0.5,2,p3,D,0,0.6666666666666666
MIXED,-1.3973544973544973,9,p3,A,-2,0.5925925925925926
MIXED,2.25,2,p3,H,2,0.5
MIXED,1.030612244897959,7,p3,A,-1,0.8095238095238095
MIXED,0.5,2,p3,A,-1,0.6666666666666666
EUR-only,3.5,2,p3,H,2,1.0
MIXED,1.3973544973544973,9,p3,H,1,0.5925925925925926
MIXED,1.25,2,p3,H,2,0.6666666666666666
MIXED,0.5714285714285715,2,p2,H,3,0.5
MIXED,-1.6944444444444444,3,p3,H,1,0.5555555555555556
MIXED,0.15,5,p2,H,2,0.8
MIXED,0.9666666666666668,5,p3,H,1,0.6666666666666666
EUR-only,-0.8333333333333334,3,p2,A,-1,1.0
MIXED,0.5833333333333334,2,p2,D,0,0.75
MIXED,0.25,2,p2,H,1,0.75
MIXED,1.6944444444444444,3,p3,A,-4,0.5555555555555556
MIXED,-0.5714285714285715,2,p2,A,-2,0.5
MIXED,-0.9666666666666668,5,p3,D,0,0.6666666666666666
MIXED,-0.25,2,p2,H,5,0.75
MIXED,-0.15,5,p2,H,1,0.8
EUR-only,0.8333333333333334,3,p2,H,1,1.0
MIXED,-0.5833333333333334,2,p2,H,3,0.75
