seg,est,n,phase,res,gd,eur_frac
MIXED,3.8666666666666663,5,p3,D,0,0.9333333333333333
MIXED,-3.486111111111111,6,p3,H,3,0.9444444444444444
MIXED,0.525,2,p3,D,0,0.8333333333333334
MIXED,-0.525,2,p3,H,1,0.8333333333333334
EUR-only,-2.75,2,p3,A,-1,1.0
EUR-only,2.75,2,p3,H,3,1.0
EUR-only,0.75,2,p3,A,-2,1.0
EUR-only,-0.75,2,p3,D,0,1.0
EUR-only,1.25,2,p3,H,1,1.0
MIXED,1.3272727272727272,2,p3,H,1,0.6666666666666666
DOM-heavy,0.5454545454545454,3,p3,A,-4,0.3333333333333333
EUR-only,-2.8333333333333335,3,p3,H,1,1.0
EUR-only,2.8333333333333335,3,p3,H,3,1.0
EUR-only,-1.25,2,p3,H,2,1.0
MIXED,-1.3272727272727274,2,p3,H,2,0.6666666666666666
DOM-heavy,-0.5454545454545454,3,p3,H,1,0.3333333333333333
MIXED,-0.6727272727272728,3,p3,A,-1,0.6666666666666666
MIXED,-0.4090909090909091,3,p3,H,1,0.6666666666666666
EUR-only,0.75,2,p3,D,0,1.0
MIXED,0.4090909090909091,3,p3,A,-3,0.6666666666666666
EUR-only,-0.75,2,p3,A,-3,1.0
MIXED,0.6727272727272728,3,p3,H,1,0.6666666666666666
MIXED,-2.803030303030303,3,p3,H,2,0.8888888888888888
MIXED,2.803030303030303,3,p3,H,3,0.8888888888888888
MIXED,-0.40909090909090906,8,p3,A,-1,0.6666666666666666
MIXED,0.6666666666666666,3,p3,H,1,0.7777777777777778
MIXED,0.40909090909090906,8,p3,A,-2,0.6666666666666666
MIXED,-0.6666666666666666,3,p3,A,-1,0.7777777777777778
MIXED,-1.3181818181818181,3,p3,A,-1,0.6666666666666666
MIXED,-1.9545454545454546,2,p3,H,3,0.6666666666666666
MIXED,1.9545454545454546,2,p3,A,-1,0.6666666666666666
MIXED,0.011111111111111134,9,p3,H,1,0.8518518518518519
EUR-only,1.5,3,p3,D,0,1.0
MIXED,0.5580808080808082,9,p3,H,1,0.9259259259259259
