est,sd,n,n2,n3,contra,res,gd
-0.4444444444444444,1.2939794109835683,4,2,2,False,D,0
0.9166666666666666,0.9013878188659973,4,0,4,False,H,2
1.875,0.625,5,3,2,False,D,0
0.6875,0.8646711802760632,5,3,2,False,H,1
1.5714285714285714,0.846850407241384,4,3,1,False,H,3
-1.5714285714285714,0.846850407241384,4,3,1,False,A,-2
-0.6875,0.8646711802760632,5,3,2,False,D,0
-1.875,0.625,5,3,2,False,A,-1
-0.9166666666666666,0.9013878188659973,4,0,4,False,A,-4
0.4444444444444444,1.2939794109835683,4,2,2,True,H,4
1.6875,2.5710224133601014,5,3,2,True,H,1
-4.0,,1,0,1,False,A,-3
1.0714285714285714,1.2297336695232766,5,2,3,True,A,-3
2.25,2.75,2,0,2,False,D,0
-0.24,1.7397536771459507,7,3,4,False,H,2
1.8333333333333333,1.5456030825826175,3,0,3,False,H,2
2.8181818181818183,2.8356011018504397,6,5,1,True,H,1
-1.8333333333333333,1.5456030825826175,3,0,3,False,A,-2
-2.8181818181818183,2.8356011018504397,6,5,1,True,D,0
-2.25,2.75,2,0,2,False,D,0
0.24,1.7397536771459507,7,3,4,False,H,1
4.0,,1,0,1,False,H,4
-1.0714285714285714,1.2297336695232766,5,2,3,False,A,-4
3.5,1.5,2,0,2,False,H,3
-0.5,2.23606797749979,5,2,3,False,A,-4
2.4,3.4402034823539145,4,1,3,True,H,1
4.25,0.25,2,0,2,False,H,5
-4.25,0.25,2,0,2,False,D,0
-2.4,3.4402034823539145,4,1,3,False,D,0
-3.5,1.5,2,0,2,False,D,0
0.5,2.23606797749979,5,2,3,True,H,2
0.25,,1,1,0,False,H,1
0.625,1.231107225224513,7,5,2,True,A,-1
4.0,,1,0,1,False,H,2
-0.9,0.9092121131323904,3,1,2,False,D,0
-4.0,,1,0,1,False,H,2
0.9,0.9092121131323904,3,1,2,True,D,0
-0.625,1.231107225224513,7,5,2,False,H,1
-0.25,,1,1,0,False,A,-1
-2.375,0.875,2,0,2,False,H,1
-0.38571428571428573,1.8901283115211003,6,1,5,False,A,-1
-0.7142857142857143,1.3956016916128517,4,3,1,False,A,-2
1.0,,1,1,0,False,H,1
-1.0,,1,1,0,False,A,-3
0.25,0.25,2,0,2,False,A,-2
0.5714285714285714,1.31125426790613,4,3,1,True,D,0
1.8333333333333333,0.6588078458684123,2,1,1,False,H,1
0.7142857142857143,1.3956016916128517,4,3,1,True,H,4
-1.0,,1,1,0,False,H,2
0.38571428571428573,1.8901283115211003,6,1,5,True,H,2
2.375,0.875,2,0,2,False,D,0
-0.5714285714285714,1.31125426790613,4,3,1,False,H,7
-1.8333333333333333,0.6588078458684123,2,1,1,False,D,0
1.0,,1,1,0,False,H,1
-0.25,0.25,2,0,2,False,H,3
0.375,1.5403791277289034,7,1,6,False,A,-2
-0.48333333333333334,2.3901417903082187,11,4,7,False,H,3
2.25,0.25,2,0,2,False,H,2
-2.25,0.25,2,0,2,False,A,-2
-0.375,1.5403791277289034,7,1,6,True,D,0
0.48333333333333334,2.3901417903082187,11,4,7,False,D,0
-1.4285714285714286,1.9322715827201296,5,2,3,False,D,0
1.4285714285714286,1.9322715827201296,5,2,3,False,H,4
1.4285714285714286,0.9381375383259783,4,3,1,True,H,1
4.3125,1.5347536447260843,4,0,4,False,H,1
-6.5,,1,0,1,False,A,-1
-2.0,,1,0,1,False,D,0
2.0,,1,0,1,False,D,0
6.5,,1,0,1,False,D,0
-4.3125,1.5347536447260843,4,0,4,False,H,3
-0.25,,1,0,1,False,D,0
0.25,,1,0,1,False,H,1
2.8333333333333335,1.8446619684315546,2,1,1,False,D,0
-2.8333333333333335,1.8446619684315546,2,1,1,False,H,4
-2.5,,1,0,1,False,D,0
-1.5,,1,0,1,False,A,-1
0.75,3.25,2,0,2,False,A,-1
-0.75,3.25,2,0,2,False,H,2
1.5,,1,0,1,False,H,3
2.5,,1,0,1,False,D,0
0.75,0.75,2,0,2,False,A,-2
-0.75,0.75,2,0,2,False,D,0
-0.5,,1,0,1,False,H,1
0.5,,1,0,1,False,H,2
0.75,0.75,2,0,2,False,D,0
-2.5,,1,0,1,False,D,0
2.5,,1,0,1,False,A,-3
-0.75,0.75,2,0,2,False,A,-3
-1.0,,1,0,1,False,H,1
1.0,,1,0,1,False,A,-1
-1.0,0.5,2,0,2,False,D,0
2.0,1.4577379737113252,4,1,3,False,H,1
-2.0,1.4577379737113252,4,1,3,False,H,2
1.0,0.5,2,0,2,False,A,-1
0.5,,1,0,1,False,D,0
1.75,0.5400617248673217,3,0,3,False,H,1
-1.75,0.5400617248673217,3,0,3,False,A,-1
-0.5,,1,0,1,False,D,0
7.5,,1,0,1,False,H,3
1.5,,1,0,1,False,H,1
-1.0,,1,1,0,False,D,0
1.5,,1,0,1,False,A,-1
-1.5,,1,0,1,False,D,0
1.0,,1,1,0,False,H,2
-1.5,,1,0,1,False,A,-1
-7.5,,1,0,1,False,A,-1
1.875,1.2002603884157803,5,1,4,False,A,-1
-1.0,,1,0,1,False,A,-3
2.8333333333333335,1.8446619684315546,2,1,1,False,H,1
-0.5833333333333334,0.5137011669140814,3,0,3,False,A,-2
-0.5,2.5,2,0,2,False,A,-2
-3.8888888888888893,0.6148873228105183,2,1,1,False,A,-1
3.888888888888889,0.6148873228105178,2,1,1,False,H,1
0.5,2.5,2,0,2,False,H,3
0.5833333333333334,0.5137011669140814,3,0,3,False,H,3
-2.8333333333333335,1.8446619684315546,2,1,1,False,A,-2
1.0,,1,0,1,False,H,1
-1.875,1.2002603884157803,5,1,4,False,A,-1
0.25,1.1858541225631423,2,1,1,True,H,2
-2.0,1.0,2,0,2,False,H,1
-0.5,1.7795130420052185,3,0,3,False,H,4
-2.0,0.0,2,0,2,False,D,0
2.0,0.0,2,0,2,False,D,0
0.5,1.7795130420052185,3,0,3,False,H,1
-0.25,1.1858541225631423,2,1,1,True,H,1
2.0,1.0,2,0,2,False,H,2
1.4166666666666667,0.8983008652141243,5,1,4,True,A,-3
-1.4166666666666667,0.8983008652141243,5,1,4,False,D,0
0.6666666666666666,1.3884443733105687,5,1,4,True,A,-1
-0.6666666666666666,1.3884443733105687,5,1,4,False,H,3
-1.6666666666666667,1.8446619684315544,2,1,1,False,D,0
-1.25,1.7677669529663689,8,0,8,False,H,1
-1.2833333333333332,1.41578403877302,5,0,5,False,H,1
-1.5,,1,1,0,False,D,0
2.5,,1,0,1,False,A,-1
2.1666666666666665,0.9428090415820634,3,0,3,False,H,3
1.5,,1,1,0,False,A,-4
-2.5,,1,0,1,False,A,-2
-2.1666666666666665,0.9428090415820634,3,0,3,False,H,2
1.6666666666666667,1.8446619684315544,2,1,1,False,H,1
1.25,1.7677669529663689,8,0,8,False,A,-1
1.2833333333333334,1.4157840387730203,5,0,5,False,H,2
2.5,2.1213203435596424,3,3,0,False,H,2
-2.25,1.25,2,0,2,False,D,0
-0.5,,1,0,1,False,H,2
-1.5,,1,0,1,False,H,2
2.5416666666666665,1.622861841179204,6,0,6,False,H,3
0.5833333333333334,0.6588078458684123,2,1,1,True,D,0
1.5,,1,0,1,False,H,1
-2.5416666666666665,1.622861841179204,6,0,6,False,A,-1
-0.5833333333333334,0.6588078458684123,2,1,1,True,H,6
-2.5,2.1213203435596424,3,3,0,False,A,-2
2.25,1.25,2,0,2,False,A,-2
0.5,,1,0,1,False,D,0
-1.0,,1,1,0,False,H,1
0.0,0.9354143466934853,4,0,4,False,D,0
2.5,,1,1,0,False,H,1
0.0,0.9354143466934853,4,0,4,False,H,3
-2.5,,1,1,0,False,D,0
1.0,,1,1,0,False,H,3
0.6,1.243985530462473,4,1,3,True,D,0
1.6666666666666667,2.1081851067789197,2,1,1,True,H,1
