date,comp,home,away,hg,ag,note
2024-12-07,CZE1,Sparta,Bohemians,1,0,
2024-12-08,CZE1,Hradec,Ostrava,0,1,
2025-02-01,CZE1,Hradec,Pardubice,3,0,
2025-03-01,CZE1,C.Budejovice,Ostrava,0,4,
2025-03-01,CZE1,Hradec,Jablonec,1,1,
2025-03-01,CZE1,Olomouc,Sparta,1,2,
2025-03-01,CZE1,Teplice,Pardubice,2,0,
2025-03-02,CZE1,Liberec,Dukla,1,1,
2025-03-02,CZE1,Karvina,Slovacko,2,0,
2025-03-02,CZE1,Ml.Boleslav,Plzen,0,2,
2025-03-02,CZE1,Slavia,Bohemians,2,0,
2025-03-08,CZE1,Dukla,Teplice,1,1,
2025-03-08,CZE1,Jablonec,Liberec,0,0,
2025-03-08,CZE1,Slovacko,C.Budejovice,2,1,
2025-03-08,CZE1,Sparta,Slavia,2,0,
2025-03-09,CZE1,Ostrava,Ml.Boleslav,2,1,
2025-03-09,CZE1,Bohemians,Olomouc,0,1,
2025-03-09,CZE1,Hradec,Karvina,1,1,
2025-03-09,CZE1,Pardubice,Plzen,0,0,
2025-03-12,CZE1,Dukla,Karvina,0,0,catchup
2025-03-15,CZE1,Ml.Boleslav,Bohemians,1,2,
2025-03-15,CZE1,Pardubice,Dukla,0,1,
2025-03-15,CZE1,Teplice,Slovacko,1,0,
2025-03-15,CZE1,Liberec,Sparta,1,0,
2025-04-05,CZE1,Pardubice,Bohemians,2,0,
2025-04-05,CZE1,Olomouc,Karvina,1,2,
2025-04-05,CZE1,Ostrava,Sparta,1,1,
2025-04-05,CZE1,Liberec,C.Budejovice,2,0,
2025-04-05,CZE1,Slavia,Hradec,2,1,
2025-04-06,CZE1,Teplice,Jablonec,0,1,
2025-04-06,CZE1,Ml.Boleslav,Dukla,0,1,
2025-04-06,CZE1,Plzen,Slovacko,2,0,
2025-04-09,CZE1,Slovacko,Hradec,1,5,catchup
2025-04-12,CZE1,Karvina,Slavia,0,4,
2025-04-12,CZE1,Dukla,Ostrava,2,0,
2025-04-13,CZE1,Jablonec,Pardubice,1,0,
2025-04-13,CZE1,C.Budejovice,Teplice,1,1,
2025-04-13,CZE1,Slovacko,Olomouc,2,2,
2025-04-13,CZE1,Sparta,Ml.Boleslav,2,0,
2025-04-13,CZE1,Bohemians,Plzen,1,2,
2025-04-13,CZE1,Hradec,Liberec,0,2,
2025-04-19,CZE1,Ostrava,Bohemians,1,0,
2025-04-19,CZE1,Ml.Boleslav,Jablonec,0,1,
2025-04-19,CZE1,Pardubice,Sparta,1,2,
2025-04-19,CZE1,Olomouc,C.Budejovice,3,0,
2025-04-19,CZE1,Slavia,Slovacko,2,0,
2025-04-19,CZE1,Liberec,Karvina,2,3,
2025-04-19,CZE1,Teplice,Hradec,1,0,
2025-04-19,CZE1,Plzen,Dukla,4,2,
2025-04-26,CZE1,Olomouc,Slavia,0,5,g-champ,
2025-04-26,CZE1,C.Budejovice,Ml.Boleslav,1,2,g-rel,
2025-04-26,CZE1,Slovacko,Pardubice,1,0,g-rel,
2025-04-27,CZE1,Ostrava,Jablonec,1,2,g-champ,
2025-04-27,CZE1,Plzen,Sparta,2,0,g-champ,
2025-04-27,CZE1,Teplice,Dukla,2,2,g-rel,
2025-05-03,CZE1,Slavia,Plzen,4,3,g-champ,
2025-05-03,CZE1,Ostrava,Olomouc,0,0,g-champ,
2025-05-03,CZE1,Hradec,Karvina,1,0,po-mid-sf1,
2025-05-03,CZE1,Dukla,Pardubice,2,0,g-rel,
2025-05-04,CZE1,Sparta,Jablonec,1,3,g-champ,
2025-05-04,CZE1,Bohemians,Liberec,4,1,po-mid-sf1,
2025-05-04,CZE1,Slovacko,C.Budejovice,0,0,g-rel,
2025-05-04,CZE1,Ml.Boleslav,Teplice,1,0,g-rel,
2025-05-10,CZE1,Jablonec,Olomouc,4,0,g-champ,
2025-05-10,CZE1,Slavia,Sparta,2,1,g-champ,
2025-05-10,CZE1,Karvina,Hradec,0,4,po-mid-sf2,
2025-05-10,CZE1,Pardubice,C.Budejovice,1,0,g-rel,
2025-05-11,CZE1,Plzen,Ostrava,1,2,g-champ,
2025-05-11,CZE1,Liberec,Bohemians,1,0,po-mid-sf2,
2025-05-11,CZE1,Teplice,Slovacko,1,0,g-rel,
2025-05-11,CZE1,Ml.Boleslav,Dukla,2,3,g-rel,
2025-05-17,CZE1,Pardubice,Ml.Boleslav,2,1,g-rel,
2025-05-17,CZE1,Slovacko,Dukla,3,2,g-rel,
2025-05-17,CZE1,C.Budejovice,Teplice,0,3,g-rel,
2025-05-18,CZE1,Ostrava,Sparta,3,2,g-champ,
2025-05-18,CZE1,Jablonec,Slavia,3,2,g-champ,
2025-05-18,CZE1,Olomouc,Plzen,1,2,g-champ,
2025-05-18,CZE1,Bohemians,Hradec,1,0,po-mid-f1,
2025-05-24,CZE1,Slavia,Ostrava,3,0,g-champ,
2025-05-24,CZE1,Sparta,Olomouc,1,1,g-champ,
2025-05-24,CZE1,Plzen,Jablonec,4,1,g-champ,
2025-05-25,CZE1,Hradec,Bohemians,2,0,po-mid-f2,
2025-05-25,CZE1,Dukla,C.Budejovice,2,1,g-rel,
2025-05-25,CZE1,Ml.Boleslav,Slovacko,2,2,g-rel,
2025-05-25,CZE1,Teplice,Pardubice,3,0,g-rel,
2025-07-26,CZE1,Hradec,Karvina,1,2,
