date,comp,home,away,hg,ag
2025-08-23,RPL,rubin,spartak,0,2
2025-08-23,RPL,zenit,dinamo-mkh,4,0
2025-08-24,RPL,cska,akron,3,1
2025-08-24,RPL,krylja,krasnodar,0,6
2025-08-24,RPL,sochi,baltika,0,2
2025-08-26,CUP,akhmat,rubin,2,0
2025-08-26,CUP,orenburg,zenit,3,5
2025-08-26,CUP,spartak,pari-nn,4,0
2025-08-27,CUP,baltika,cska,0,2
2025-08-27,CUP,krylja,dinamo-msk,0,0
2025-08-27,CUP,rostov,dinamo-mkh,1,3
2025-08-27,CUP,sochi,krasnodar,2,4
2025-08-28,CUP,lokomotiv,akron,2,0
2025-08-30,RPL,orenburg,rubin,2,2
2025-08-30,RPL,rostov,akhmat,1,1
2025-08-30,RPL,spartak,sochi,2,1
2025-08-30,RPL,zenit,pari-nn,2,0
2025-08-31,RPL,akron,baltika,0,2
2025-08-31,RPL,cska,krasnodar,1,1
2025-08-31,RPL,dinamo-mkh,dinamo-msk,1,0
2025-08-31,RPL,lokomotiv,krylja,2,2
2025-09-12,RPL,rubin,dinamo-mkh,1,0
2025-09-13,RPL,akhmat,lokomotiv,1,1
2025-09-13,RPL,dinamo-msk,spartak,2,2
2025-09-13,RPL,krasnodar,akron,2,1
2025-09-13,RPL,pari-nn,orenburg,3,1
2025-09-14,RPL,baltika,zenit,0,0
2025-09-14,RPL,krylja,sochi,2,0
2025-09-14,RPL,rostov,cska,1,0
2025-09-16,CUP,akron,lokomotiv,1,3
2025-09-16,CUP,orenburg,rubin,0,0
2025-09-16,CUP,pari-nn,dinamo-mkh,1,2
2025-09-17,CUP,krylja,krasnodar,1,2
2025-09-17,CUP,sochi,dinamo-msk,0,4
2025-09-17,CUP,zenit,akhmat,2,1
2025-09-18,CUP,cska,baltika,1,1
2025-09-18,CUP,spartak,rostov,1,2
2025-09-20,RPL,akron,rubin,2,2
2025-09-20,RPL,dinamo-mkh,lokomotiv,1,1
2025-09-20,RPL,pari-nn,akhmat,1,2
2025-09-21,RPL,baltika,rostov,0,0
2025-09-21,RPL,krasnodar,zenit,0,2
2025-09-21,RPL,orenburg,dinamo-msk,1,3
2025-09-21,RPL,spartak,krylja,2,1
2025-09-22,RPL,sochi,cska,1,3
2025-09-26,RPL,krylja,dinamo-msk,2,3
2025-09-27,RPL,akhmat,akron,3,0
2025-09-27,RPL,lokomotiv,rubin,1,0
2025-09-27,RPL,rostov,krasnodar,0,0
2025-09-27,RPL,zenit,orenburg,5,2
2025-09-28,RPL,cska,baltika,1,0
2025-09-28,RPL,dinamo-mkh,sochi,0,0
2025-09-28,RPL,spartak,pari-nn,3,0
2025-09-30,CUP,akhmat,orenburg,0,1
2025-09-30,CUP,krasnodar,dinamo-msk,0,0
2025-09-30,CUP,rubin,zenit,0,1
2025-10-01,CUP,baltika,akron,3,0
2025-10-01,CUP,krylja,sochi,3,3
2025-10-01,CUP,lokomotiv,cska,0,0
2025-10-01,CUP,pari-nn,spartak,1,2
2025-10-02,CUP,dinamo-mkh,rostov,1,1
2025-10-04,RPL,akron,zenit,1,1
2025-10-04,RPL,dinamo-msk,lokomotiv,3,5
2025-10-04,RPL,krasnodar,akhmat,2,0
2025-10-04,RPL,rubin,krylja,2,0
2025-10-05,RPL,baltika,dinamo-mkh,2,0
2025-10-05,RPL,cska,spartak,3,2
2025-10-05,RPL,orenburg,rostov,0,1
2025-10-05,RPL,sochi,pari-nn,2,1
2025-10-18,RPL,dinamo-mkh,krasnodar,0,2
2025-10-18,RPL,krylja,orenburg,1,1
2025-10-18,RPL,lokomotiv,cska,3,0
2025-10-18,RPL,pari-nn,akron,0,1
2025-10-18,RPL,spartak,rostov,1,1
2025-10-19,RPL,dinamo-msk,akhmat,2,2
2025-10-19,RPL,rubin,baltika,0,3
2025-10-19,RPL,sochi,zenit,0,3
2025-10-21,CUP,cska,akron,3,2
2025-10-21,CUP,dinamo-mkh,spartak,1,3
2025-10-22,CUP,dinamo-msk,krylja,4,0
2025-10-22,CUP,rostov,pari-nn,4,1
2025-10-22,CUP,rubin,akhmat,3,3
2025-10-22,CUP,zenit,orenburg,6,0
2025-10-23,CUP,baltika,lokomotiv,1,2
2025-10-23,CUP,krasnodar,sochi,3,0
