date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-09-29,Dynamo Makhachkala v Dynamo Moscow,26.7,3.5,69.8,A,69.8,A,0,0,100,40,0,60,25,5,70,26,6
2024-09-29,Krylya Sovetov Sam v FC Khimki,22.7,15.9,61.4,A,61.4,D,0,0,0,29,29,43,20,10,70,27,7
2024-10-01,Lokomotiv Moscow v FC Orenburg,63.5,6.7,29.8,H,63.5,H,100,0,0,75,13,13,50,5,45,30,9
2024-10-01,Pari Nizhny Novgor v CSKA Moscow,6.4,6.4,87.2,A,87.2,A,0,0,100,0,0,100,10,10,80,28,6
2024-10-01,Rubin Kazan v Fakel Voronezh,66.7,20.8,12.5,H,66.7,A,50,50,0,83,17,0,70,10,20,28,7
2024-10-02,Akhmat Grozny v FC Krasnodar,54.2,9.4,36.5,H,54.2,H,0,50,50,17,0,83,80,5,15,28,7
2024-10-02,Dynamo Moscow v Spartak Moscow,46.0,6.0,48.0,A,48.0,A,0,50,50,57,0,43,50,0,50,29,8
2024-10-02,Zenit St Petersbur v Akron Tolyatti,88.6,6.8,4.5,H,88.6,H,0,0,0,86,0,14,90,10,0,27,7
2024-10-05,Akron Tolyatti v Pari Nizhny Novgor,63.5,0.0,36.5,H,63.5,D,0,0,0,44,0,56,75,0,25,29,8
2024-10-05,Rubin Kazan v Akhmat Grozny,61.4,4.5,34.1,H,61.4,H,0,0,0,43,14,43,70,0,30,27,7
2024-10-05,Spartak Moscow v FC Rostov,19.6,8.7,71.7,A,71.7,H,0,0,0,38,25,38,10,0,90,28,7
2024-10-05,Zenit St Petersbur v FC Orenburg,89.1,3.3,7.6,H,89.1,H,0,0,0,88,0,13,90,5,5,28,8
2024-10-06,Dynamo Moscow v CSKA Moscow,36.9,8.3,54.8,A,54.8,A,0,0,0,17,17,67,45,5,50,26,6
2024-10-06,Fakel Voronezh v Dynamo Makhachkala,36.4,11.4,52.3,A,52.3,D,0,0,0,29,14,57,40,10,50,27,6
2024-10-06,FC Krasnodar v FC Khimki,42.4,4.3,53.3,A,53.3,H,0,0,0,75,13,13,25,0,75,28,8
2024-10-06,Lokomotiv Moscow v Krylya Sovetov Sam,85.2,11.4,3.4,H,85.2,H,0,0,0,86,14,0,90,5,5,27,8
2024-10-18,Akhmat Grozny v Fakel Voronezh,80.2,7.3,12.5,H,80.2,A,0,0,0,56,11,33,100,0,0,29,8
2024-10-18,Akron Tolyatti v Zenit St Petersbur,9.8,5.9,84.3,A,84.3,A,0,0,100,11,0,89,10,10,80,30,10
2024-10-19,Dynamo Makhachkala v CSKA Moscow,19.6,8.7,71.7,A,71.7,A,0,0,0,0,25,75,30,0,70,28,7
2024-10-19,FC Khimki v Lokomotiv Moscow,18.8,8.0,73.2,A,73.2,H,0,0,100,0,0,100,35,15,50,32,11
2024-10-19,Pari Nizhny Novgor v FC Rostov,26.9,0.0,73.1,A,73.1,D,0,0,0,36,0,64,20,0,80,31,10
2024-10-19,Spartak Moscow v FC Krasnodar,23.9,0.0,76.1,A,76.1,A,0,0,0,50,0,50,10,0,90,28,9
2024-10-20,FC Orenburg v Krylya Sovetov Sam,79.2,4.2,16.7,H,79.2,D,0,0,0,44,11,44,100,0,0,29,8
2024-10-20,Rubin Kazan v Dynamo Moscow,40.2,10.9,48.9,A,48.9,A,0,0,0,50,13,38,35,10,55,28,9
2024-10-22,CSKA Moscow v Akhmat Grozny,60.2,2.8,37.0,H,60.2,H,100,0,0,89,0,11,35,5,60,31,11
2024-10-22,Dynamo Makhachkala v Spartak Moscow,32.4,9.3,58.3,A,58.3,A,50,50,0,22,11,67,35,0,65,31,10
2024-10-22,Fakel Voronezh v Zenit St Petersbur,3.7,12.0,84.3,A,84.3,A,0,0,100,11,11,78,5,5,90,31,10
2024-10-23,Akron Tolyatti v Rubin Kazan,41.3,2.9,55.8,A,55.8,A,0,0,100,50,0,50,45,5,50,30,10
2024-10-23,FC Krasnodar v Pari Nizhny Novgor,48.1,14.8,37.0,H,48.1,A,100,0,0,78,11,11,25,0,75,31,10
2024-10-23,FC Orenburg v FC Khimki,64.8,16.7,18.5,H,64.8,H,0,50,50,44,33,22,90,0,10,31,11
2024-10-24,Krylya Sovetov Sam v Dynamo Moscow,2.9,10.6,86.5,A,86.5,A,0,0,100,0,25,75,10,0,90,30,9
2024-10-26,CSKA Moscow v Fakel Voronezh,78.0,7.0,15.0,H,78.0,D,0,0,0,90,10,0,70,5,25,30,10
2024-10-26,Dynamo Makhachkala v Akron Tolyatti,25.0,13.0,62.0,A,62.0,D,0,0,0,40,10,50,15,15,70,30,9
2024-10-26,FC Rostov v Akhmat Grozny,57.4,8.3,34.3,H,57.4,A,0,0,0,67,0,33,50,15,35,32,11
2024-10-27,FC Khimki v Dynamo Moscow,21.2,0.0,78.8,A,78.8,A,0,0,0,9,0,91,30,0,70,31,10
2024-10-27,FC Orenburg v Rubin Kazan,62.5,5.8,31.7,H,62.5,A,0,0,0,45,0,55,75,10,15,31,10
2024-10-27,Pari Nizhny Novgor v Spartak Moscow,28.8,3.8,67.3,A,67.3,A,0,0,0,27,9,64,30,0,70,31,10
2024-10-27,Zenit St Petersbur v Lokomotiv Moscow,78.0,7.0,15.0,H,78.0,D,0,0,0,60,10,30,90,5,5,30,9
2024-10-28,Krylya Sovetov Sam v FC Krasnodar,33.0,3.0,64.0,A,64.0,A,0,0,0,30,0,70,35,5,60,30,10
2024-11-01,Dynamo Moscow v FC Rostov,67.0,5.4,27.7,H,67.0,D,0,0,0,69,0,31,65,10,25,33,12
2024-11-02,CSKA Moscow v Spartak Moscow,44.4,12.0,43.5,H,44.4,A,0,0,0,50,8,42,40,15,45,32,11
2024-11-02,Lokomotiv Moscow v Rubin Kazan,69.4,10.2,20.4,H,69.4,H,0,0,0,75,17,8,65,5,30,32,11
2024-11-02,Zenit St Petersbur v Dynamo Makhachkala,77.8,15.7,6.5,H,77.8,H,0,0,0,75,17,8,80,15,5,32,11
2024-11-03,Akhmat Grozny v Pari Nizhny Novgor,76.7,6.7,16.7,H,76.7,A,100,0,0,42,17,42,100,0,0,34,13
2024-11-03,Akron Tolyatti v Krylya Sovetov Sam,59.3,16.7,24.1,H,59.3,H,0,0,0,33,25,42,80,10,10,32,11
2024-11-03,Fakel Voronezh v FC Khimki,42.9,6.3,50.9,A,50.9,D,0,0,0,46,8,46,40,5,55,33,12
2024-11-03,FC Krasnodar v FC Orenburg,51.9,0.0,48.1,H,51.9,H,0,0,0,92,0,8,20,0,80,32,11
2024-11-09,Dynamo Makhachkala v FC Orenburg,25.9,15.5,58.6,A,58.6,H,0,0,0,43,21,36,10,10,80,34,13
2024-11-09,Dynamo Moscow v Pari Nizhny Novgor,80.2,10.3,9.5,H,80.2,H,0,0,0,64,21,14,95,0,5,34,13
2024-11-09,Lokomotiv Moscow v Fakel Voronezh,72.4,13.8,13.8,H,72.4,H,0,0,0,86,7,7,60,20,20,34,13
2024-11-09,FC Rostov v FC Khimki,71.3,10.7,18.0,H,71.3,H,100,0,0,64,7,29,75,15,10,35,14
2024-11-10,Akhmat Grozny v Zenit St Petersbur,34.5,6.9,58.6,A,58.6,A,0,0,0,7,14,79,60,0,40,34,14
2024-11-10,Krylya Sovetov Sam v CSKA Moscow,9.5,3.4,87.1,A,87.1,A,0,0,0,14,7,79,5,0,95,34,13
2024-11-10,Rubin Kazan v FC Krasnodar,60.3,6.0,33.6,H,60.3,D,0,0,0,29,7,64,90,5,5,34,13
2024-11-10,Spartak Moscow v Akron Tolyatti,30.2,10.3,59.5,A,59.5,H,0,0,0,57,21,21,5,0,95,34,13
2024-11-22,Rubin Kazan v Akron Tolyatti,59.7,9.7,30.6,H,59.7,H,100,0,0,57,7,36,50,15,35,37,16
2024-11-23,CSKA Moscow v FC Rostov,34.4,24.6,41.0,A,41.0,A,0,100,0,64,21,14,10,20,70,35,13
2024-11-23,FC Khimki v FC Krasnodar,33.6,11.5,54.9,A,54.9,D,0,0,100,14,14,71,55,10,35,35,14
