date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-10-23,Akron Tolyatti v Rubin Kazan,44.0,2.6,53.4,A,53.4,A,0,0,100,50,0,50,45,5,50,30,10
2024-10-23,FC Krasnodar v Pari Nizhny Novgor,50.8,14.8,34.4,H,50.8,A,100,0,0,78,11,11,25,0,75,31,10
2024-10-23,FC Orenburg v FC Khimki,63.9,18.0,18.0,H,63.9,H,0,50,50,44,33,22,90,0,10,31,11
2024-10-24,Krylya Sovetov Sam v Dynamo Moscow,2.6,12.9,84.5,A,84.5,A,0,0,100,0,25,75,10,0,90,30,9
2024-10-26,CSKA Moscow v Fakel Voronezh,80.0,7.5,12.5,H,80.0,D,0,0,0,90,10,0,70,5,25,30,10
2024-10-26,Dynamo Makhachkala v Akron Tolyatti,27.5,12.5,60.0,A,60.0,D,0,0,0,40,10,50,15,15,70,30,10
2024-10-26,FC Rostov v Akhmat Grozny,59.1,6.8,34.1,H,59.1,A,0,0,0,67,0,33,50,15,35,32,12
2024-10-27,FC Khimki v Dynamo Moscow,19.0,0.0,81.0,A,81.0,A,0,0,0,9,0,91,30,0,70,31,10
2024-10-27,FC Orenburg v Rubin Kazan,59.5,4.8,35.7,H,59.5,A,0,0,0,45,0,55,75,10,15,31,10
2024-10-27,Pari Nizhny Novgor v Spartak Moscow,28.6,4.8,66.7,A,66.7,A,0,0,0,27,9,64,30,0,70,31,10
2024-10-27,Zenit St Petersbur v Lokomotiv Moscow,75.0,7.5,17.5,H,75.0,D,0,0,0,60,10,30,90,5,5,30,10
2024-10-28,Krylya Sovetov Sam v FC Krasnodar,32.5,2.5,65.0,A,65.0,A,0,0,0,30,0,70,35,5,60,30,10
2024-11-01,Dynamo Moscow v FC Rostov,67.4,4.3,28.3,H,67.4,D,0,0,0,69,0,31,65,10,25,33,12
2024-11-02,CSKA Moscow v Spartak Moscow,45.5,11.4,43.2,H,45.5,A,0,0,0,50,8,42,40,15,45,32,11
2024-11-02,Lokomotiv Moscow v Rubin Kazan,70.5,11.4,18.2,H,70.5,H,0,0,0,75,17,8,65,5,30,32,11
2024-11-02,Zenit St Petersbur v Dynamo Makhachkala,77.3,15.9,6.8,H,77.3,H,0,0,0,75,17,8,80,15,5,32,11
2024-11-03,Akhmat Grozny v Pari Nizhny Novgor,70.0,8.6,21.4,H,70.0,A,100,0,0,42,17,42,100,0,0,34,13
2024-11-03,Akron Tolyatti v Krylya Sovetov Sam,54.5,18.2,27.3,H,54.5,H,0,0,0,33,25,42,80,10,10,32,11
2024-11-03,Fakel Voronezh v FC Khimki,43.5,6.5,50.0,A,50.0,D,0,0,0,46,8,46,40,5,55,33,12
2024-11-03,FC Krasnodar v FC Orenburg,59.1,0.0,40.9,H,59.1,H,0,0,0,92,0,8,20,0,80,32,11
2024-11-09,Dynamo Makhachkala v FC Orenburg,29.2,16.7,54.2,A,54.2,H,0,0,0,43,21,36,10,10,80,34,13
2024-11-09,Dynamo Moscow v Pari Nizhny Novgor,77.1,12.5,10.4,H,77.1,H,0,0,0,64,21,14,95,0,5,34,13
2024-11-09,Lokomotiv Moscow v Fakel Voronezh,75.0,12.5,12.5,H,75.0,H,0,0,0,86,7,7,60,20,20,34,13
2024-11-09,FC Rostov v FC Khimki,69.6,10.1,20.3,H,69.6,H,100,0,0,64,7,29,75,15,10,35,14
