date,fixture,K,zoneBase,zoneDrop2,sideBase,shareBase,shareDrop2,actual,resBase,resDrop2
2025-11-29,CSKA Moscow v FC Orenburg,2,windraw,windraw,TA,55.6,58.5,H,W,W
2025-11-30,Akhmat Grozny v Dynamo Moscow,2,toss,toss,TB,41.5,41.5,H,L,L
2025-11-30,FC Krasnodar v Krylya Sovetov Sam,2,lean,windraw,TA,51.3,61.7,H,W,W
2025-11-30,FC Rostov v Lokomotiv Moscow,2,toss,toss,TB,43.5,43.5,A,W,W
2025-11-30,Zenit St Petersbur v Rubin Kazan,2,win,win,TA,77.7,77.7,H,W,W
2025-12-01,PFC Sochi v Dynamo Makhachkala,2,win,win,TB,78.7,81.4,D,D,D
2025-12-05,Akhmat Grozny v FC Orenburg,2,lean,lean,TA,54.5,54.5,H,W,W
2025-12-06,FC Rostov v Rubin Kazan,2,lean,windraw,TA,54.9,57.7,H,W,W
2025-12-06,Spartak Moscow v Dynamo Moscow,2,toss,toss,TB,46.3,48.8,D,D,D
2025-12-06,Zenit St Petersbur v Akron Tolyatti,2,win,win,TA,72.3,69.6,H,W,W
2025-12-07,Baltika Kaliningra v Krylya Sovetov Sam,2,toss,windraw,TA,48.4,56.6,H,W,W
2025-12-07,Dynamo Makhachkala v Pari Nizhny Novgor,2,windraw,win,TA,64.3,66.9,A,L,L
2025-12-07,FC Krasnodar v CSKA Moscow,2,toss,toss,TA,43.1,42.5,H,W,L
2025-12-07,PFC Sochi v Lokomotiv Moscow,2,strong,strong,TB,96.7,96.7,A,W,W
2026-02-26,Celje v Drita,2,windraw,NC,TA,100.0,,H,W,NC
2026-02-27,Zenit St Petersbur v Baltika Kaliningra,2,toss,toss,TA,43.4,46.7,H,W,W
2026-02-28,Dynamo Makhachkala v Rubin Kazan,2,toss,toss,TA,47.9,47.2,H,W,W
2026-02-28,FC Krasnodar v FC Rostov,2,toss,toss,TA,48.6,48.6,H,W,W
2026-02-28,Lokomotiv Moscow v Pari Nizhny Novgor,2,strong,strong,TA,97.2,97.2,H,W,W
2026-02-28,FC Orenburg v Akron Tolyatti,2,toss,toss,TA,47.9,47.9,H,W,W
2026-03-01,Akhmat Grozny v CSKA Moscow,2,lean,lean,TB,53.2,53.2,H,L,L
2026-03-01,Dynamo Moscow v Krylya Sovetov Sam,2,windraw,windraw,TA,60.6,58.1,H,W,W
2026-03-02,PFC Sochi v Spartak Moscow,2,strong,strong,TB,91.0,93.4,A,W,W
2026-03-03,Baltika Kaliningra v Zenit St Petersbur,2,windraw,windraw,TB,57.8,59.0,A,W,W
2026-03-04,CSKA Moscow v FC Krasnodar,2,windraw,lean,TB,56.0,54.4,H,L,L
2026-03-04,Krylya Sovetov Sam v FC Orenburg,2,toss,toss,TA,48.6,49.3,H,W,W
2026-03-04,FC Rostov v Dynamo Makhachkala,2,lean,lean,TA,54.7,54.7,A,L,L
2026-03-05,Dynamo Moscow v Spartak Moscow,2,toss,lean,TB,48.2,50.0,H,L,L
2026-03-07,Pari Nizhny Novgor v PFC Sochi,2,windraw,windraw,TA,60.7,59.8,H,W,W
2026-03-07,FC Rostov v Baltika Kaliningra,2,toss,toss,TB,47.5,47.5,D,D,D
2026-03-08,CSKA Moscow v Dynamo Moscow,2,toss,toss,TB,45.5,45.5,A,W,W
2026-03-08,Krylya Sovetov Sam v Dynamo Makhachkala,2,windraw,lean,TB,55.4,52.7,H,L,L
2026-03-08,FC Orenburg v Zenit St Petersbur,2,win,win,TB,79.2,79.2,H,L,L
2026-03-08,Rubin Kazan v FC Krasnodar,2,windraw,windraw,TB,62.0,62.0,H,L,L
2026-03-09,Lokomotiv Moscow v Akhmat Grozny,2,win,win,TA,70.1,70.1,D,D,D
2026-03-09,Spartak Moscow v Akron Tolyatti,2,windraw,windraw,TA,62.2,62.2,H,W,W
2026-03-13,Dynamo Makhachkala v FC Orenburg,2,lean,lean,TA,50.7,53.5,H,W,W
2026-03-14,Baltika Kaliningra v CSKA Moscow,2,toss,toss,TA,49.2,49.2,H,W,W
2026-03-14,FC Rostov v Dynamo Moscow,2,toss,toss,TA,46.5,46.5,A,L,L
2026-03-14,PFC Sochi v FC Krasnodar,2,strong,strong,TB,94.8,94.8,A,W,W
2026-03-14,Zenit St Petersbur v Spartak Moscow,2,lean,lean,TA,54.9,54.9,H,W,W
2026-03-15,Akron Tolyatti v Akhmat Grozny,2,windraw,windraw,TB,63.4,57.7,D,D,D
2026-03-15,Pari Nizhny Novgor v Krylya Sovetov Sam,2,win,win,TB,69.7,66.9,H,L,L
2026-03-15,Rubin Kazan v Lokomotiv Moscow,2,win,win,TB,73.2,73.2,H,L,L
2026-03-17,FC Krasnodar v CSKA Moscow,2,toss,toss,TA,43.6,43.6,H,W,W
2026-03-18,Spartak Moscow v Dynamo Moscow,2,toss,toss,TB,48.8,48.8,H,L,L
2026-03-18,Zenit St Petersbur v Dynamo Makhachkala,2,win,win,TA,73.2,70.4,H,W,W
2026-03-21,Akhmat Grozny v FC Rostov,2,toss,toss,TB,46.5,46.5,H,L,L
2026-03-21,Baltika Kaliningra v PFC Sochi,2,strong,strong,TA,93.4,93.4,H,W,W
2026-03-21,CSKA Moscow v Dynamo Makhachkala,2,toss,toss,TA,45.9,45.9,H,W,W
2026-03-21,FC Krasnodar v Pari Nizhny Novgor,2,win,win,TA,81.8,81.8,H,W,W
2026-03-22,Dynamo Moscow v Zenit St Petersbur,2,win,win,TB,67.5,67.5,A,W,W
2026-03-22,Krylya Sovetov Sam v Rubin Kazan,2,toss,toss,TB,47.2,47.2,D,D,D
2026-03-22,Lokomotiv Moscow v Akron Tolyatti,2,win,win,TA,77.3,77.3,H,W,W
2026-03-22,FC Orenburg v Spartak Moscow,2,windraw,windraw,TB,62.7,64.8,A,W,W
2026-04-04,Akhmat Grozny v FC Krasnodar,2,toss,lean,TB,48.1,52.5,A,W,W
2026-04-04,Akron Tolyatti v CSKA Moscow,2,win,win,TB,78.4,74.3,A,W,W
2026-04-04,Dynamo Moscow v FC Orenburg,2,windraw,lean,TA,57.0,52.8,D,D,D
2026-04-04,Zenit St Petersbur v Krylya Sovetov Sam,2,windraw,windraw,TA,62.7,64.8,H,W,W
2026-04-05,Dynamo Makhachkala v Baltika Kaliningra,2,windraw,windraw,TB,62.3,59.0,D,D,D
