Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2024/2025,01/03/2025,11:00,Pari NN,Akron Togliatti,2,1,H,2.65,3.26,2.86,2.65,3.38,2.9,2.56,3.28,2.82
Russia,Premier League,2024/2025,01/03/2025,13:30,Zenit,CSKA Moscow,0,0,D,1.82,3.53,4.93,1.92,3.53,4.93,1.83,3.43,4.66
Russia,Premier League,2024/2025,01/03/2025,16:00,Akhmat Grozny,Rubin Kazan,2,1,H,2.22,3.25,3.63,2.38,3.25,3.63,2.24,3.16,3.44
Russia,Premier League,2024/2025,01/03/2025,16:30,Krasnodar,Krylya Sovetov,1,1,D,1.48,4.52,7.11,1.48,4.7,7.3,1.45,4.48,7
Russia,Premier League,2024/2025,02/03/2025,11:00,Khimki,Fakel Voronezh,1,0,H,2.21,3.16,3.78,2.32,3.2,3.78,2.24,3.1,3.57
Russia,Premier League,2024/2025,02/03/2025,13:30,Spartak Moscow,Orenburg,2,0,H,1.25,6.59,10.66,1.33,6.59,10.66,1.28,5.99,9.8
Russia,Premier League,2024/2025,02/03/2025,16:30,FK Rostov,Dynamo Moscow,1,1,D,2.63,3.65,2.64,2.8,3.85,2.64,2.65,3.66,2.52
Russia,Premier League,2024/2025,07/03/2025,15:00,Pari NN,Krasnodar,0,3,A,4.56,3.47,1.89,5.56,3.47,1.9,4.61,3.35,1.86
Russia,Premier League,2024/2025,07/03/2025,17:15,Lokomotiv Moscow,Akhmat Grozny,1,1,D,1.77,4,4.54,1.77,4.15,4.76,1.74,4.03,4.4
Russia,Premier League,2024/2025,08/03/2025,09:00,Orenburg,FK Rostov,1,2,A,3.8,4.03,1.91,3.92,4.03,1.95,3.64,3.92,1.92
Russia,Premier League,2024/2025,08/03/2025,11:30,Fakel Voronezh,Zenit,0,2,A,8.16,4.32,1.46,8.88,4.42,1.46,7.98,4.21,1.45
Russia,Premier League,2024/2025,08/03/2025,14:00,CSKA Moscow,Khimki,1,0,H,1.7,3.92,5.12,1.72,4.01,5.33,1.68,3.88,5.01
Russia,Premier League,2024/2025,08/03/2025,16:30,Dynamo Moscow,Dynamo Makhachkala,4,0,H,1.69,3.91,5.29,1.75,3.91,5.56,1.7,3.72,5.09
Russia,Premier League,2024/2025,09/03/2025,13:30,Krylya Sovetov,Akron Togliatti,0,2,A,2.25,3.33,3.45,2.31,3.34,3.63,2.23,3.23,3.4
Russia,Premier League,2024/2025,09/03/2025,16:30,Rubin Kazan,Spartak Moscow,2,1,H,5.35,3.58,1.75,5.38,3.75,1.78,5.18,3.6,1.73
Russia,Premier League,2024/2025,15/03/2025,09:00,Orenburg,Fakel Voronezh,1,0,H,2.38,3.29,3.23,2.47,3.29,3.35,2.39,3.19,3.11
Russia,Premier League,2024/2025,15/03/2025,11:30,Khimki,Akhmat Grozny,1,1,D,3.41,3.45,2.22,3.41,3.55,2.34,3.19,3.43,2.23
Russia,Premier League,2024/2025,15/03/2025,14:00,Dynamo Makhachkala,Krylya Sovetov,4,0,H,2.4,3.11,3.39,2.45,3.16,3.39,2.38,3.09,3.26
Russia,Premier League,2024/2025,15/03/2025,16:30,Lokomotiv Moscow,Dynamo Moscow,2,1,H,2.19,3.68,3.27,2.31,3.68,3.3,2.22,3.53,3.16
Russia,Premier League,2024/2025,16/03/2025,10:00,Akron Togliatti,CSKA Moscow,1,2,A,4.26,3.42,1.97,4.52,3.5,2.01,4.07,3.41,1.95
Russia,Premier League,2024/2025,16/03/2025,12:15,Rubin Kazan,Pari NN,1,0,H,2.54,3.1,3.16,2.54,3.16,3.23,2.47,3.07,3.07
Russia,Premier League,2024/2025,16/03/2025,14:00,FK Rostov,Krasnodar,0,1,A,2.29,3.45,3.26,2.44,3.48,3.26,2.32,3.41,3.06
Russia,Premier League,2024/2025,16/03/2025,16:45,Spartak Moscow,Zenit,2,1,H,2.66,3.12,2.97,2.92,3.12,2.97,2.67,3,2.87
Russia,Premier League,2024/2025,28/03/2025,15:30,Krylya Sovetov,Lokomotiv Moscow,5,1,H,3.95,3.54,2,4.22,3.65,2,3.94,3.54,1.96
Russia,Premier League,2024/2025,29/03/2025,11:00,Dynamo Moscow,Orenburg,5,1,H,1.43,5.43,6.53,1.45,5.43,7.5,1.43,5.02,6.65
Russia,Premier League,2024/2025,29/03/2025,13:30,Khimki,Pari NN,2,0,H,2.79,3.26,2.72,2.79,3.32,2.85,2.66,3.25,2.71
Russia,Premier League,2024/2025,29/03/2025,16:30,CSKA Moscow,Dynamo Makhachkala,2,0,H,1.68,3.61,6.15,1.7,3.65,6.41,1.67,3.57,5.93
Russia,Premier League,2024/2025,30/03/2025,12:00,Krasnodar,Fakel Voronezh,5,0,H,1.49,4.24,7.53,1.53,4.24,7.74,1.5,4.09,7.31
Russia,Premier League,2024/2025,30/03/2025,14:30,Akhmat Grozny,Spartak Moscow,0,0,D,4.25,3.48,1.95,4.36,3.6,2,4.11,3.46,1.95
Russia,Premier League,2024/2025,30/03/2025,17:30,Zenit,Rubin Kazan,4,0,H,1.28,5.72,12.68,1.3,5.72,13,1.27,5.58,11.57
Russia,Premier League,2024/2025,31/03/2025,16:30,Akron Togliatti,FK Rostov,2,3,A,3.54,3.63,2.1,3.54,3.65,2.19,3.41,3.56,2.12
Russia,Premier League,2024/2025,04/04/2025,17:00,Pari NN,Orenburg,1,2,A,2.23,3.53,3.3,2.26,3.53,3.46,2.25,3.4,3.26
Russia,Premier League,2024/2025,05/04/2025,11:00,Krylya Sovetov,Rubin Kazan,1,1,D,2.19,3.27,3.69,2.29,3.3,4.04,2.17,3.24,3.63
Russia,Premier League,2024/2025,05/04/2025,13:15,Fakel Voronezh,Akhmat Grozny,0,0,D,4.09,3.22,2.08,4.09,3.27,2.13,3.91,3.22,2.08
Russia,Premier League,2024/2025,05/04/2025,15:30,Lokomotiv Moscow,Zenit,1,1,D,5.02,3.88,1.72,5.02,3.88,1.81,4.58,3.74,1.77
Russia,Premier League,2024/2025,05/04/2025,17:45,Krasnodar,Akron Togliatti,1,0,H,1.36,5.47,8.17,1.4,5.47,8.17,1.38,5.18,7.77
Russia,Premier League,2024/2025,06/04/2025,12:00,Dynamo Makhachkala,Khimki,4,1,H,2.06,3.45,3.85,2.1,3.45,4.25,2.07,3.33,3.86
Russia,Premier League,2024/2025,06/04/2025,14:30,FK Rostov,Spartak Moscow,0,3,A,3.03,3.57,2.36,3.19,3.57,2.36,3.01,3.51,2.33
Russia,Premier League,2024/2025,06/04/2025,17:30,CSKA Moscow,Dynamo Moscow,3,1,H,2.24,3.53,3.29,2.3,3.55,3.3,2.25,3.49,3.2
Russia,Premier League,2024/2025,11/04/2025,17:30,Spartak Moscow,Dynamo Makhachkala,1,2,A,1.31,5.38,11.15,1.38,5.38,11.15,1.32,5.18,9.89
Russia,Premier League,2024/2025,12/04/2025,10:00,Orenburg,CSKA Moscow,0,2,A,3.2,3.53,2.29,3.5,3.53,2.29,3.22,3.44,2.23
Russia,Premier League,2024/2025,12/04/2025,12:30,Pari NN,Dynamo Moscow,1,1,D,4.22,3.92,1.84,4.22,3.97,1.91,4.02,3.84,1.85
Russia,Premier League,2024/2025,12/04/2025,15:00,Rubin Kazan,Lokomotiv Moscow,1,0,H,3.18,3.37,2.38,3.32,3.4,2.4,3.1,3.31,2.35
Russia,Premier League,2024/2025,12/04/2025,17:30,Akhmat Grozny,FK Rostov,2,1,H,2.13,3.47,3.61,2.21,3.47,3.61,2.15,3.34,3.49
Russia,Premier League,2024/2025,13/04/2025,12:30,Akron Togliatti,Fakel Voronezh,1,0,H,1.86,3.51,4.7,1.88,3.68,4.7,1.86,3.52,4.39
Russia,Premier League,2024/2025,13/04/2025,15:00,Zenit,Krasnodar,4,1,H,1.62,4.15,5.63,1.67,4.15,5.68,1.62,4.02,5.42
Russia,Premier League,2024/2025,13/04/2025,17:30,Khimki,Krylya Sovetov,1,3,A,3.4,3.11,2.39,3.4,3.22,2.47,3.19,3.12,2.41
Russia,Premier League,2024/2025,19/04/2025,10:00,Orenburg,Dynamo Makhachkala,2,1,H,2.14,3.51,3.56,2.26,3.67,3.56,2.16,3.56,3.28
Russia,Premier League,2024/2025,19/04/2025,12:30,Akron Togliatti,Spartak Moscow,2,3,A,5.19,4.35,1.63,5.25,4.35,1.65,4.96,4.27,1.63
Russia,Premier League,2024/2025,19/04/2025,15:00,Lokomotiv Moscow,Pari NN,3,0,H,1.76,3.99,4.61,1.77,3.99,5.18,1.75,3.79,4.67
Russia,Premier League,2024/2025,19/04/2025,17:30,Krasnodar,Akhmat Grozny,3,1,H,1.81,3.55,5.01,1.81,3.68,5.01,1.79,3.57,4.77
Russia,Premier League,2024/2025,20/04/2025,12:00,Dynamo Moscow,Rubin Kazan,3,1,H,1.75,3.87,4.82,1.79,3.91,4.91,1.75,3.83,4.59
Russia,Premier League,2024/2025,20/04/2025,12:00,Fakel Voronezh,FK Rostov,0,2,A,3.36,3.46,2.24,3.53,3.49,2.24,3.32,3.42,2.19
Russia,Premier League,2024/2025,20/04/2025,14:30,Zenit,Khimki,1,0,H,1.12,10.68,20.28,1.14,10.68,21,1.12,9.76,19.06
Russia,Premier League,2024/2025,20/04/2025,17:30,CSKA Moscow,Krylya Sovetov,1,1,D,2.04,3.43,3.95,2.05,3.56,4.97,1.93,3.46,4.19
Russia,Premier League,2024/2025,25/04/2025,17:30,Dynamo Makhachkala,Krasnodar,2,3,A,5.63,3.76,1.68,5.63,3.76,1.75,5.35,3.64,1.7
Russia,Premier League,2024/2025,26/04/2025,12:00,Dynamo Moscow,Zenit,1,1,D,4.63,3.97,1.76,4.68,3.97,1.8,4.45,3.86,1.77
Russia,Premier League,2024/2025,26/04/2025,12:00,Pari NN,Akhmat Grozny,1,0,H,3.83,3.36,2.1,3.83,3.41,2.15,3.67,3.32,2.1
Russia,Premier League,2024/2025,26/04/2025,14:30,FK Rostov,Lokomotiv Moscow,1,1,D,2.33,3.88,2.88,2.36,3.88,2.88,2.33,3.79,2.81
Russia,Premier League,2024/2025,26/04/2025,17:30,Spartak Moscow,CSKA Moscow,1,2,A,1.64,3.92,5.79,1.71,3.92,5.79,1.66,3.82,5.35
Russia,Premier League,2024/2025,27/04/2025,12:00,Krylya Sovetov,Orenburg,2,0,H,1.78,4.01,4.49,1.85,4.01,4.49,1.79,3.92,4.21
Russia,Premier League,2024/2025,27/04/2025,14:30,Khimki,Akron Togliatti,2,2,D,2.67,3.24,2.86,2.67,3.32,2.86,2.62,3.24,2.77
Russia,Premier League,2024/2025,27/04/2025,17:00,Rubin Kazan,Fakel Voronezh,2,1,H,2.1,3.25,4,2.17,3.27,4,2.1,3.19,3.86
Russia,Premier League,2024/2025,02/05/2025,16:00,Akron Togliatti,Dynamo Makhachkala,1,0,H,2.24,3.21,3.63,2.33,3.23,3.63,2.25,3.18,3.42
Russia,Premier League,2024/2025,03/05/2025,15:00,Lokomotiv Moscow,Orenburg,1,1,D,1.71,4.47,4.35,1.75,4.49,4.61,1.7,4.33,4.35
